meal_id,meal_name,meal_type,region,cuisine,diet_type,ingredients,serving_size_g,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,source_name,source_type,retrieved_date
IND_MEAL_011,Coco pine cooler with Minestrone soup,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Coco pine cooler (150g), Minestrone soup (100g)",250,91.78,10.14,12.29,12.59,2.31,9.29,8909.86,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_012,Summer cooler with Cold summer garden soup,Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Summer cooler (150g), Cold summer garden soup (100g)",250,82.83,9.12,10.79,14.14,2.16,8.28,9921.98,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_013,Hot cocoa with Sprouted moong parantha/paratha,Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Hot cocoa (150g), Sprouted moong parantha/paratha (100g)",250,363.74,9.33,38.16,19.27,4.49,14.99,190.24,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_014,Cold coffee with ice cream with Methi poori,Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cold coffee with ice cream (150g), Methi poori (100g)",250,811.79,3.8,24.84,77.77,1.62,17.03,56.13,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_015,Banana milkshake (Kele milkshake) with Mushroom pulao,Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Banana milkshake (Kele milkshake) (150g), Mushroom pulao (100g)",250,222.25,5.28,32.75,7.59,2.27,12.94,242.78,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_016,Mango milkshake (Aam milkshake) with Vegetable biryani/biriyani,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Mango milkshake (Aam milkshake) (150g), Vegetable biryani/biriyani (100g)",250,259.96,5.75,29.41,13.04,3.7,12.87,203.69,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_017,Pineapple milkshake (Ananas milkshake) with Macroni cheese pie,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Pineapple milkshake (Ananas milkshake) (150g), Macroni cheese pie (100g)",250,254.21,8.34,32.53,10.82,0.4,14.8,221.58,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_018,Orange milkshake (Narangi milkshake) with Chicken lasagne,Breakfast,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Orange milkshake (Narangi milkshake) (150g), Chicken lasagne (100g)",250,273.62,13.24,24.57,14.14,0.11,13.36,260.5,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_019,Egg nog with Onion tomato uttapam,Lunch,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Egg nog (150g), Onion tomato uttapam (100g)",250,607.73,9.08,23.55,52.96,1.29,12.89,204.5,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_020,Sweet Lassi (Meethi lassi) with Mixed dal,Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Sweet Lassi (Meethi lassi) (150g), Mixed dal (100g)",250,115.42,4.45,15.55,4.12,1.62,10.11,168.83,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_021,Lassi (salted) with Chickpeas curry (Safed channa curry),Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Lassi (salted) (150g), Chickpeas curry (Safed channa curry) (100g)",250,191.69,8.12,22.77,7.92,4.76,7.54,456.09,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_022,Cheese and chilli sandwich with Sprouted moong dal chat,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cheese and chilli sandwich (150g), Sprouted moong dal chat (100g)",250,359.63,11.55,47.11,14.99,4.47,5.14,743.32,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_023,Egg sandwich (Ande ka sandwich) with Dry potato (Sookhe aloo),Dessert,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Egg sandwich (Ande ka sandwich) (150g), Dry potato (Sookhe aloo) (100g)",250,532.09,14.66,58.12,27.88,4.7,3.12,892.5,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_024,Cucumber sandwich (Kheere ka sandwich) with Stuffed round gourd (Bharwa tinde),Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cucumber sandwich (Kheere ka sandwich) (150g), Stuffed round gourd (Bharwa tinde) (100g)",250,355.7,8.3,42.67,17.75,5.78,4.42,724.11,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_025,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich) with Pea curry (Matar ki sabzi),Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cheese and pineapple sandwich (Cheese aur ananas ka sandwich) (150g), Pea curry (Matar ki sabzi) (100g)",250,489.55,16.81,52.85,24.31,7.94,8.13,1012.69,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_026,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich) with Paneer kofta curry,Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cheese and tomato sandwich (Cheese aur tamatar ke sandwich) (150g), Paneer kofta curry (100g)",250,1035.89,14.27,43.65,90.47,3.35,6.26,946.29,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_027,Chicken sandwich with Vegetarian egg kofta curry,Snack,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Chicken sandwich (150g), Vegetarian egg kofta curry (100g)",250,1007.32,21.01,42.33,84.86,3.1,3.59,680.39,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_028,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich) with Dum aloo,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich) (150g), Dum aloo (100g)",250,1119.47,14.99,46.14,98.22,6.72,4.94,731.34,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_029,Rainbow sandwich with Shahi paneer,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Rainbow sandwich (150g), Shahi paneer (100g)",250,565.62,16.68,58.03,31.15,4.55,11.08,1134.09,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_030,Club sandwich with Spinach mutton (Palak mutton),Breakfast,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Club sandwich (150g), Spinach mutton (Palak mutton) (100g)",250,433.3,16.7,31.21,27.39,4.95,4.43,813.59,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_031,Vegetarian club sandwich with Mutton chops,Lunch,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Vegetarian club sandwich (150g), Mutton chops (100g)",250,961.13,12.21,31.0,88.31,3.26,3.54,509.07,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_032,Pin wheel sandwich with Chicken kebab,Dinner,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Pin wheel sandwich (150g), Chicken kebab (100g)",250,1196.69,16.86,22.11,116.28,1.6,2.42,631.35,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_033,Carrot apple sandwich (Gajar aur seb ka sandwich) with Baked fish with cheese sauce,Snack,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Carrot apple sandwich (Gajar aur seb ka sandwich) (150g), Baked fish with cheese sauce (100g)",250,435.12,16.59,47.62,20.7,5.57,11.17,663.8,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_034,Salami sandwich with Hawain salad,Beverage,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Salami sandwich (150g), Hawain salad (100g)",250,558.62,17.32,46.66,34.63,6.88,8.24,1059.05,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_035,Vegetable and mayonnaise sandwich with Coleslaw,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Vegetable and mayonnaise sandwich (150g), Coleslaw (100g)",250,443.1,7.95,40.39,28.42,5.87,7.15,543.92,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_036,Egg and tomato sandwich (Ande aur tamatar ka sandwich) with Carrot and spinach raita (Gajar aur palak ka raita),Breakfast,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Egg and tomato sandwich (Ande aur tamatar ka sandwich) (150g), Carrot and spinach raita (Gajar aur palak ka raita) (100g)",250,390.0,15.49,44.68,17.75,4.04,8.06,815.68,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_037,Sweet open sandwich with Saunth/Sonth chutney with tamarind/imli,Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Sweet open sandwich (150g), Saunth/Sonth chutney with tamarind/imli (100g)",250,507.9,8.5,92.41,12.38,4.47,49.66,552.29,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_038,Mushroom and cheese sandwich (toasted) with Carrot kheer (Gajar ki kheer),Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Mushroom and cheese sandwich (toasted) (150g), Carrot kheer (Gajar ki kheer) (100g)",250,426.48,14.5,41.61,23.37,4.15,12.8,713.39,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_039,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)) with Egg halwa (Ande ka halwa),Snack,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)) (150g), Egg halwa (Ande ka halwa) (100g)",250,636.61,18.08,71.72,32.83,3.16,41.86,769.95,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_040,Pea potato sandwich (toasted) (Matar aloo ka sandwich) with Chocolate ice cream,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Pea potato sandwich (toasted) (Matar aloo ka sandwich) (150g), Chocolate ice cream (100g)",250,425.05,11.37,53.17,19.39,4.33,17.32,430.74,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_041,Paneer pea sandwich (toasted) (Paneer matar ka sandwich) with Chocolate souffle,Dessert,North Indian,North Indian Cuisine,Vegetarian,"Paneer pea sandwich (toasted) (Paneer matar ka sandwich) (150g), Chocolate souffle (100g)",250,563.66,26.48,50.82,29.33,3.18,22.29,459.42,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_042,Chicken sandwich (toasted) with Triffle pudding,Breakfast,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Chicken sandwich (toasted) (150g), Triffle pudding (100g)",250,368.02,21.05,46.47,11.91,2.58,17.09,518.28,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_043,Pea keema sandwich (toasted) (Matar aur keema ka sandwich) with Bread and butter pudding,Lunch,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Pea keema sandwich (toasted) (Matar aur keema ka sandwich) (150g), Bread and butter pudding (100g)",250,425.61,22.18,50.02,16.3,4.66,14.75,531.4,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_044,Classic club sandwich with Hot chocolate souffle,Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Classic club sandwich (150g), Hot chocolate souffle (100g)",250,527.34,16.81,53.95,28.44,2.55,25.67,470.35,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_045,Sesame toast with Gram flour burfi (Besan burfi),Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Sesame toast (150g), Gram flour burfi (Besan burfi) (100g)",250,1164.58,14.04,63.32,96.48,5.39,30.63,206.19,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_046,Cracked wheat porridge (Meetha daliya) with Ghujia/Lavang latika,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cracked wheat porridge (Meetha daliya) (150g), Ghujia/Lavang latika (100g)",250,891.34,5.82,26.3,85.05,1.45,13.76,27.12,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_047,Semolina porridge (Suji/Rava daliya) with Mixed vegetable pakora/pakoda,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Semolina porridge (Suji/Rava daliya) (150g), Mixed vegetable pakora/pakoda (100g)",250,825.14,7.56,23.71,77.98,2.18,11.69,100.16,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_048,Oatmeal Porridge with Potato samosa (Aloo ka samosa),Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Oatmeal Porridge (150g), Potato samosa (Aloo ka samosa) (100g)",250,686.66,5.61,22.37,64.02,1.77,8.09,101.31,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_049,Cornflakes with milk with Peanut cutlet (Mungfali ke cutlet),Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cornflakes with milk (150g), Peanut cutlet (Mungfali ke cutlet) (100g)",250,874.76,8.02,28.1,81.68,2.38,15.47,124.06,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_050,Rice flakes (Chiwda/Aval) with Vegetable seekh kebab,Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Rice flakes (Chiwda/Aval) (150g), Vegetable seekh kebab (100g)",250,859.39,7.0,28.68,79.7,1.15,11.66,117.27,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_051,Wheat flakes with Dry mango chutney (Sookhe aam ki chutney),Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Wheat flakes (150g), Dry mango chutney (Sookhe aam ki chutney) (100g)",250,466.79,7.86,92.53,6.69,4.29,72.78,471.51,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_052,Murmura (Puffed rice) with Orange cream tart,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Murmura (Puffed rice) (150g), Orange cream tart (100g)",250,367.14,8.01,50.94,14.78,1.06,21.05,70.63,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_053,Puffed wheat (Murmure/Moori) with Chocolate meringue pie,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Puffed wheat (Murmure/Moori) (150g), Chocolate meringue pie (100g)",250,384.74,10.41,52.3,15.23,0.79,25.99,114.55,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_054,Boiled egg (Ubla anda) with Hot potato souffle,Breakfast,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Boiled egg (Ubla anda) (150g), Hot potato souffle (100g)",250,193.67,12.15,8.74,12.2,0.83,1.78,353.61,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_055,Fried Egg with Orange cake,Lunch,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Fried Egg (150g), Orange cake (100g)",250,693.12,23.48,48.75,45.64,1.26,28.38,775.85,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_056,Poached egg with Swiss roll,Dinner,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Poached egg (150g), Swiss roll (100g)",250,437.68,25.27,48.9,16.05,1.0,33.04,1796.51,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_057,Scrambled egg (Ande ki bhurji) with Sweet plain biscuit,Snack,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Scrambled egg (Ande ki bhurji) (150g), Sweet plain biscuit (100g)",250,614.71,21.29,52.31,35.98,1.43,23.39,694.58,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_058,Baked egg with Masala biscuit,Beverage,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Baked egg (150g), Masala biscuit (100g)",250,721.91,23.88,68.31,39.73,3.69,9.31,1499.45,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_059,Plain omelette/omlet with Ginger biscuit (Adarak ke biscuit),Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Plain omelette/omlet (150g), Ginger biscuit (Adarak ke biscuit) (100g)",250,826.53,20.47,59.4,56.92,1.67,27.82,418.95,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_060,Stuffed egg omelette/omlet with Rice moong dal cheela (Chawal aur moong dal ka cheela),Breakfast,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Stuffed egg omelette/omlet (150g), Rice moong dal cheela (Chawal aur moong dal ka cheela) (100g)",250,1103.53,15.64,14.58,109.09,2.3,2.5,543.61,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_061,Pancake with Sprouted moong poha,Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Pancake (150g), Sprouted moong poha (100g)",250,497.64,14.11,57.34,23.12,4.11,6.91,436.37,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_062,Keema pancake with Steeped hot coffee,Dinner,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Keema pancake (150g), Steeped hot coffee (100g)",250,280.32,13.91,17.35,17.2,1.26,6.26,190.92,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_063,Vegetable pancake with Mintade,Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Vegetable pancake (150g), Mintade (100g)",250,228.09,5.83,28.95,9.88,3.75,13.61,201.72,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_064,Jam and fruit pancake with Rice upma,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Jam and fruit pancake (150g), Rice upma (100g)",250,394.3,8.32,49.05,17.98,3.94,12.9,241.38,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_065,Khoa and coconut pancake with Indian style egg bhujia (Anda bhujia (Indian style)),Dessert,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Khoa and coconut pancake (150g), Indian style egg bhujia (Anda bhujia (Indian style)) (100g)",250,510.8,16.57,44.74,29.95,4.0,26.65,369.55,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_066,Brown stock with Meat stock,Breakfast,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Brown stock (150g), Meat stock (100g)",250,56.46,5.03,0.38,3.85,0.14,0.21,75.52,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_067,Vegetable stock with Mixed vegetable soup,Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Vegetable stock (150g), Mixed vegetable soup (100g)",250,62.11,8.67,4.39,13.73,2.21,2.3,9276.9,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_068,Chicken stock with Cold cucumber cream soup,Dinner,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Chicken stock (150g), Cold cucumber cream soup (100g)",250,56.7,5.88,2.31,2.6,0.88,0.81,295.76,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_069,Clear tomato soup (Tamatar ka soup) with Gram flour poori (Besan poori),Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Clear tomato soup (Tamatar ka soup) (150g), Gram flour poori (Besan poori) (100g)",250,817.76,9.78,16.11,89.84,4.88,2.51,7761.94,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_070,Lentil soup with Minced meat pancake (with chicken),Beverage,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Lentil soup (150g), Minced meat pancake (with chicken) (100g)",250,162.8,26.48,14.09,28.0,4.55,2.88,20570.44,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_071,Chicken consomme (Clear chicken soup) with Mutton pulao,Dessert,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Chicken consomme (Clear chicken soup) (150g), Mutton pulao (100g)",250,202.68,23.73,13.04,28.81,4.0,1.81,16546.05,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_072,Cream of tomato soup with Masala dosa paneer fillings,Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cream of tomato soup (150g), Masala dosa paneer fillings (100g)",250,389.84,17.23,35.66,28.52,5.18,7.52,6852.23,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_073,Cream of green peas soup with Spaghetti with paneer balls and tomato sauce,Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cream of green peas soup (150g), Spaghetti with paneer balls and tomato sauce (100g)",250,350.3,14.64,22.84,32.61,5.68,5.45,7699.1,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_074,Cream of spinach soup with Moong dal with vadi,Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cream of spinach soup (150g), Moong dal with vadi (100g)",250,174.89,8.21,6.18,22.02,3.0,2.15,6757.07,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_075,Cream of mixed vegetable soup with Dry masala chops,Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cream of mixed vegetable soup (150g), Dry masala chops (100g)",250,224.54,19.34,10.7,23.12,4.07,5.42,8566.64,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_076,Cream of mushroom soup with Soya chunks sweet and sour (Nutrinugget sweet and sour),Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cream of mushroom soup (150g), Soya chunks sweet and sour (Nutrinugget sweet and sour) (100g)",250,676.86,12.81,8.88,79.24,2.87,4.0,10171.76,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_077,Chicken sweet corn soup with Roast chicken,Dessert,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Chicken sweet corn soup (150g), Roast chicken (100g)",250,242.38,42.21,2.54,31.95,0.73,0.46,18379.7,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_078,Minestrone soup with Chicken korma,Breakfast,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Minestrone soup (150g), Chicken korma (100g)",250,211.95,23.78,10.99,26.3,4.7,4.83,13431.8,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_079,Egg drop soup with Crispy baked fish,Lunch,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Egg drop soup (150g), Crispy baked fish (100g)",250,178.36,30.34,11.24,26.69,2.42,2.43,18820.68,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_080,Chinese cabbage and meat ball soup with Yam kofta curry (Zimikand/Suran kofta curry),Dinner,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Chinese cabbage and meat ball soup (150g), Yam kofta curry (Zimikand/Suran kofta curry) (100g)",250,1049.35,8.52,5.89,118.7,1.9,1.19,6416.34,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
